decile,cases,responders,response_rate,lift
1,210,95,0.4523809523809524,3.7927619047619046
2,210,61,0.2904761904761905,2.435352380952381
3,209,28,0.1339712918660287,1.1232153110047847
4,210,24,0.11428571428571428,0.9581714285714285
5,209,13,0.06220095693779904,0.5214928229665071
6,210,11,0.05238095238095238,0.43916190476190475
7,209,12,0.05741626794258373,0.481377990430622
8,210,2,0.009523809523809525,0.07984761904761906
9,209,2,0.009569377990430622,0.08022966507177033
10,210,2,0.009523809523809525,0.07984761904761906
