antecedent,consequent,support,confidence,lift,basket_count
MEAT,SEAFOOD-PCKGD,0.016309850874104935,0.08426144673191585,2.6246116630189196,4494
SEAFOOD-PCKGD,MEAT,0.016309850874104935,0.5080262265430703,2.624611663018919,4494
MEAT-PCKGD,SEAFOOD-PCKGD,0.01769259524060115,0.08349747366618138,2.600815102476368,4875
SEAFOOD-PCKGD,MEAT-PCKGD,0.01769259524060115,0.5510965408094054,2.600815102476368,4875
MEAT,MEAT-PCKGD,0.09455648746638406,0.48850639367007914,2.3054305593124935,26054
MEAT-PCKGD,MEAT,0.09455648746638406,0.4462447546458851,2.3054305593124935,26054
NUTRITION,PRODUCE,0.04291951411596907,0.7047255825040224,2.183680063398399,11826
PRODUCE,NUTRITION,0.04291951411596907,0.13299146452548835,2.183680063398399,11826
PRODUCE,SEAFOOD-PCKGD,0.022534015148490776,0.06982445486544539,2.174922051680981,6209
SEAFOOD-PCKGD,PRODUCE,0.022534015148490776,0.7018991634637124,2.174922051680981,6209
DELI,PASTRY,0.029687267501152286,0.23003374578177727,2.109470771756419,8180
PASTRY,DELI,0.029687267501152286,0.27224015708723,2.109470771756419,8180
PRODUCE,MEAT,0.1291359843797067,0.4001439447611979,2.067260329162555,35582
MEAT,PRODUCE,0.1291359843797067,0.6671541605729928,2.0672603291625546,35582
DELI,NUTRITION,0.015340841042465858,0.11886951631046119,1.9518018982580398,4227
NUTRITION,DELI,0.015340841042465858,0.2518920207377391,1.9518018982580396,4227
MEAT-PCKGD,PRODUCE,0.12712175046000748,0.5999314892523765,1.858962502582128,35027
PRODUCE,MEAT-PCKGD,0.12712175046000748,0.39390258988113314,1.858962502582128,35027
DRUG GM,COSMETICS,0.01456418147703229,0.03406823835032642,1.833065480728489,4013
COSMETICS,DRUG GM,0.01456418147703229,0.7836360085920718,1.8330654807284887,4013
DELI,PRODUCE,0.07466819579079549,0.5785714285714286,1.7927756919710633,20574
PRODUCE,DELI,0.07466819579079549,0.2313687122566715,1.7927756919710631,20574
PASTRY,NUTRITION,0.011613600978445882,0.10649981695343962,1.7486951351846611,3200
NUTRITION,PASTRY,0.011613600978445882,0.19069185388236695,1.748695135184661,3200
DELI,MEAT,0.04335139490235502,0.3359111361079865,1.7354149047897869,11945
MEAT,DELI,0.04335139490235502,0.22396595042561968,1.7354149047897869,11945
MEAT,NUTRITION,0.020011686185984562,0.1033862076724041,1.697570602219567,5514
NUTRITION,MEAT,0.020011686185984562,0.3285859007210536,1.697570602219567,5514
DELI,MEAT-PCKGD,0.04612414213595897,0.3573959505061867,1.6866750502102283,12709
MEAT-PCKGD,DELI,0.04612414213595897,0.21767577288687162,1.6866750502102283,12709
