segment_name,department,sales_value,baskets,households,segment_sales,segment_baskets,segment_households,sales_share_pct,basket_penetration_pct,household_penetration_pct,overall_sales_share_pct,sales_share_index_vs_all
Dormant / lapsed households,VIDEO RENTAL,16.46,3,2,240823.21,11154,509,0.006834889377979806,0.026896180742334585,0.3929273084479371,0.00026633756973892884,25.662505611504773
Dormant / lapsed households,AUTOMOTIVE,49.47,3,3,240823.21,11154,509,0.020542039947063242,0.026896180742334585,0.5893909626719057,0.005617910732433529,3.6565265853138573
Dormant / lapsed households,GM MERCH EXP,10.370000000000001,4,4,240823.21,11154,509,0.004306063356600887,0.03586157432311279,0.7858546168958742,0.0012547403681549723,3.4318361518349167
Dormant / lapsed households,SPIRITS,1105.46,82,46,240823.21,11154,509,0.4590338281762792,0.7351622736238121,9.037328094302556,0.26895477694799436,1.7067323859618189
Dormant / lapsed households,PASTRY,5362.02,1183,367,240823.21,11154,509,2.2265378822913293,10.606060606060606,72.10216110019645,1.5108992755245776,1.473650771007409
Dormant / lapsed households,FLORAL,1692.21,156,110,240823.21,11154,509,0.7026772876252252,1.3986013986013985,21.611001964636543,0.4921330012875796,1.4278198897184164
Dormant / lapsed households,SALAD BAR,1259.21,268,108,240823.21,11154,509,0.522877342262816,2.4027254796485567,21.218074656188605,0.3841578144175203,1.361100367190576
Dormant / lapsed households,COSMETICS,1232.6100000000001,167,105,240823.21,11154,509,0.5118318952728851,1.4972207279899588,20.6286836935167,0.40162079690831964,1.2744158151494431
Dormant / lapsed households,NUTRITION,3378.42,594,212,240823.21,11154,509,1.4028631210421953,5.325443786982249,41.650294695481335,1.2121591217303929,1.157325878998103
Dormant / lapsed households,DRUG GM,36098.99,4284,499,240823.21,11154,509,14.989830091543086,38.40774610005379,98.03536345776031,13.097915247016676,1.1444439675205054
Dormant / lapsed households,SEAFOOD-PCKGD,2156.8,297,158,240823.21,11154,509,0.8955947393940976,2.6627218934911245,31.041257367387033,0.7830475963108796,1.1437296322898556
Dormant / lapsed households,DELI,8095.46,1183,352,240823.21,11154,509,3.361577980793463,10.606060606060606,69.15520628683693,3.2375769099376153,1.0383005792002133
Dormant / lapsed households,PRODUCE,17247.79,3026,467,240823.21,11154,509,7.162013163100019,27.12928097543482,91.74852652259332,6.918296966588833,1.035227773206063
Dormant / lapsed households,MEAT-PCKGD,12738.9,1778,426,240823.21,11154,509,5.289731002256801,15.940469786623632,83.69351669941061,5.118704892487118,1.0334119886498443
Dormant / lapsed households,CHEF SHOPPE,70.07000000000001,24,23,240823.21,11154,509,0.029096032728739066,0.21516944593867668,4.518664047151278,0.028430852971012964,1.0233964052504614
Dormant / lapsed households,SEAFOOD,900.08,111,61,240823.21,11154,509,0.37375135062770737,0.9951586874663798,11.984282907662083,0.3660828512387514,1.0209474422606994
Dormant / lapsed households,MISC. TRANS.,314.23,60,49,240823.21,11154,509,0.13048160930999966,0.5379236148466917,9.62671905697446,0.13253198241357883,0.9845292202965713
Dormant / lapsed households,GROCERY,118696.67,8447,509,240823.21,11154,509,49.28788632956101,75.73067957683342,100.0,50.80781128128997,0.9700848174050616
Dormant / lapsed households,MEAT,15383.25,1624,397,240823.21,11154,509,6.387777158190026,14.559799175183791,77.99607072691552,6.81092544511449,0.9378721305446105
Dormant / lapsed households,TRAVEL & LEISUR,69.55,22,18,240823.21,11154,509,0.028880106697356953,0.19723865877712032,3.536345776031434,0.031652470228833614,0.9124124116875025
Dormant / lapsed households,FROZEN GROCERY,15.73,8,7,240823.21,11154,509,0.006531762449308769,0.07172314864622557,1.37524557956778,0.008107534054410654,0.8056410747674091
Dormant / lapsed households,KIOSK-GAS,12369.53,546,157,240823.21,11154,509,5.136352928772937,4.895104895104895,30.844793713163064,6.754279564444494,0.7604590363436307
Dormant / lapsed households,MISC SALES TRAN,2392.48,148,92,240823.21,11154,509,0.9934590606943575,1.326878249955173,18.07465618860511,1.4888101360384294,0.6672839179734831
Dormant / lapsed households,GARDEN CENTER,135.26,12,11,240823.21,11154,509,0.056165682701430644,0.10758472296933834,2.161100196463654,0.09516442423092047,0.5901962120334197
Dormant / lapsed households,COUP/STR & MFG,15.17,7,7,240823.21,11154,509,0.006299226723204961,0.06275775506544738,1.37524557956778,0.012754913661327678,0.49386666899235326
Dormant / lapsed households,DAIRY DELI,0.88,1,1,240823.21,11154,509,0.0003654132838774137,0.008965393580778197,0.19646365422396855,0.0009088490322451893,0.40206158659234015
